sentence,label
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,2
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",2
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,1
@VirginAmerica wish you flew out of Atlanta... Soon?,2
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,2
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,2
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,0
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,1
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,1
@VirginAmerica @ladygaga @carrieunderwood - Carrie!,2
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,2
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,2
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,0
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",2
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",2
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,1
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,0
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",0
@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,1
@VirginAmerica everything was fine until you lost my bag,0
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,2
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,2
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",2
@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,0
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",1
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",2
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,0
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,0
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,1
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,0
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,0
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,0
@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,0
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,2
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,2
@VirginAmerica Why is the site down?  When will it be back up?,0
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",2
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",2
@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,0
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",0
@VirginAmerica why is flight 345 redirected?,2
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",0
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,0
@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,0
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,0
@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,0
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,2
@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,0
@VirginAmerica check out new music http://t.co/maRcnOCWzn,2
@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,0
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,0
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",1
@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,0
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,0
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,2
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",1
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",2
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",2
@VirginAmerica Have a great week 🌞✈,1
@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,1
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",0
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",1
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,1
@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,1
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",1
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,0
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",0
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,0
@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,1
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,1
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",2
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,0
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,1
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,0
@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,0
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,2
@VirginAmerica Another delayed flight? #likingyoulessandless,0
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,0
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,1
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",2
@VirginAmerica always!!! Xoxo,1
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,0
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,0
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,1
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,0
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,1
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",0
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,0
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,1
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,0
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,0
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,2
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),1
@VirginAmerica is your website ever coming back online?,2
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,2
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,0
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,0
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",0
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",0
"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",0
@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,0
@VirginAmerica is the website down?,0
@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,0
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,0
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,2
@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,0
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,0
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,2
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",2
@VirginAmerica Lister to my show my on Monday 1230 130,2
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,2
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",0
@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,0
@VirginAmerica I'd love to know what your policy is for damaged luggage.,2
@VirginAmerica Thank you for the follow,1
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,0
@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,0
@VirginAmerica @TTINAC11 I DM you,2
@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,2
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,0
@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,0
😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,1
@VirginAmerica If only you guys had flights from CMH.,2
"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",0
@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,0
“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,2
@VirginAmerica you suck!,0
@VirginAmerica thanks!,1
@VirginAmerica Just DM'd. Same issue persisting.,0
@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,0
@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,0
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,0
@VirginAmerica Your website is down and I'm trying to check in!,0
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",1
@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,2
@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,1
@VirginAmerica Keep up the great work :),1
@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,1
@VirginAmerica can you please get me to the new york area before monday afternoon,2
"@VirginAmerica Thanks so much for the awesome support, you guys rock!",1
@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,0
@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,0
@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,0
@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,1
@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,0
"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",0
@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,0
"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",0
@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,0
@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,1
@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,1
"@VirginAmerica it’s just a bug report, guys",2
@VirginAmerica hold times at call center are a bit much,0
@VirginAmerica Like http://t.co/VPqEm31XUQ,1
@VirginAmerica Site down? #help,0
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,1
"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",1
@VirginAmerica thanks so much!,1
"@VirginAmerica Trying to reset my password, email never arrives. Help?",0
@VirginAmerica Very nicely done. 👏,1
@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,0
"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",0
@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,1
@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,2
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",0
"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",0
"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",0
@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,1
@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,1
"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",0
@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,0
"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",1
"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",2
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,1
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",2
@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,2
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,2
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,2
@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,0
@VirginAmerica there is something wrong with you website in Safari iPhone,0
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,1
@VirginAmerica Already checked in so the page expired :X,0
@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,0
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,2
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,2
@VirginAmerica I see what you did there ;),1
@VirginAmerica way to take advantage of #MayweatherPacquiao :),2
@VirginAmerica your inflight team makes the experience #amazing!,1
@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,1
"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",0
@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,2
@VirginAmerica fav airline,1
@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),1
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,2
@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,2
@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,0
@VirginAmerica Thank you!!,1
@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,0
@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,2
@VirginAmerica I need you to follow back in order to DM.,2
@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,2
@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,2
@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,0
@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,0
@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),0
@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,2
"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",0
@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,2
"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application.",2
@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq,2
@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA,2
@VirginAmerica @madbee95 check the website before you go to the airport!,2
@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,0
@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,2
@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,1
"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",0
@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,0
@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,1
"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",1
@VirginAmerica happy to spend the day together. Let's do this!,1
@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9,2
@VirginAmerica missed my flight. How does standby work?,2
.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps,1
@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS,2
@VirginAmerica thank you! I absolutely will 😎,1
@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD,0
@VirginAmerica are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘,2
@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,0
"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW",0
@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund,2
@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW,0
@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,0
@VirginAmerica add DTW and I'm sold!,2
@VirginAmerica How about some free drinks on the flight back for the free promo?,1
@VirginAmerica @SSal thanks!,1
@VirginAmerica momma I made it! 😁😁😁,2
@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.,2
@VirginAmerica help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!,2
@VirginAmerica @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair,2
"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage.",0
@VirginAmerica Thanks!,1
@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel,1
@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef,1
@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,0
"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)",0
"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd",2
"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd",2
@VirginAmerica is my new go to airline,2
"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer",2
@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,1
@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,2
@VirginAmerica trying to check-in...but looks like your site is down?,0
"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!",0
@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,0
"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!",1
"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???",0
@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3,0
"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board",0
"@VirginAmerica
wjere is our luggage #so slow at lax",0
@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21,2
"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well",0
@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,0
"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome",0
@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo,2
@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa,2
@VirginAmerica i would like help with some flights please.,2
Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”,2
